x0,x1,x2,y
1,0.458248047,0.407339285,-1
1,0.308185547,0.236474172,1
1,0.170111328,0.590143617,1
1,0.239095703,0.424140277,1
1,0.305740234,0.475571383,-1
1,0.273257813,0.512924855,1
1,0.240478516,0.556349867,1
1,0.289111328,0.363813961,1
1,0.440533203,0.38163568,-1
1,0.367689453,0.395141887,-1
1,0.204933594,0.495436773,1
1,0.324035156,0.694465969,-1
1,0.122947266,0.636626023,1
1,0.269546875,0.413149926,1
1,0.355505859,0.526598926,-1
1,0.368964844,0.401842711,-1
1,0.350066406,0.634147262,-1
1,0.315505859,0.326648047,1
1,0.305238281,0.260028543,1
1,0.410822266,0.21960868,1
1,0.374589844,0.460850852,-1
1,0.351886719,0.562623605,-1
1,0.330414063,0.176186938,1
1,0.340353516,0.500030051,-1
1,0.351763672,0.569847199,-1
1,0.284371094,0.332974559,1
1,0.167234375,0.577917484,1
1,0.354835938,0.492875043,-1
1,0.305923828,0.340490582,1
1,0.2579375,0.315999691,1
1,0.397748047,0.225312516,1
1,0.272095703,0.728484035,-1
1,0.318064453,0.516537711,-1
1,0.211587891,0.488201516,1
1,0.348771484,0.160417254,1
1,0.319416016,0.406608855,1
1,0.173408203,0.587531066,1
1,0.225455078,0.44941877,1
1,0.162019531,0.573547926,1
1,0.165884766,0.65691693,1
1,0.267117188,0.623340691,-1
1,0.293710938,0.420939367,1
1,0.198826172,0.483526293,1
1,0.181275391,0.517513082,1
1,0.396261719,0.409130961,-1
1,0.270544922,0.400640434,1
1,0.245341797,0.590726133,-1
1,0.348558594,0.587283145,-1
1,0.415476563,0.561423152,-1
1,0.334148438,0.494774805,-1
1,0.236429688,0.719439859,-1
1,0.335580078,0.604147883,-1
1,0.209460938,0.665396957,-1
1,0.312552734,0.688922461,-1
1,0.303892578,0.369701691,1
1,0.380371094,0.321167059,1
1,0.370914063,0.182607867,1
1,0.301451172,0.556616887,-1
1,0.231632812,0.342766223,1
1,0.176966797,0.586847098,1
1,0.427017578,0.610616051,-1
1,0.326564453,0.438055672,1
1,0.223310547,0.595532543,-1
1,0.361308594,0.436052387,-1
1,0.262636719,0.533928703,-1
1,0.355769531,0.368751492,1
1,0.293392578,0.334520676,1
1,0.284363281,0.660233773,-1
1,0.366996094,0.311288527,1
1,0.369375,0.363990883,1
1,0.191681641,0.537689516,1
1,0.392546875,0.236296207,1
1,0.188460937,0.502983172,1
1,0.295900391,0.358721105,1
1,0.363232422,0.529903457,-1
1,0.270998047,0.33996298,1
1,0.264066406,0.571521543,-1
1,0.281556641,0.330152133,1
1,0.230648438,0.453828313,1
1,0.241126953,0.481562844,1
1,0.233117188,0.396288445,1
1,0.338166016,0.669321121,-1
1,0.411197266,0.148819531,1
1,0.142121094,0.616609262,1
1,0.191533203,0.563244727,1
1,0.238867188,0.401763129,1
1,0.303777344,0.408275105,1
1,0.139683594,0.666258512,1
1,0.361203125,0.547683785,-1
1,0.285808594,0.366073391,1
1,0.226572266,0.478247133,1
1,0.157238281,0.56786777,1
1,0.205412109,0.489031672,1
1,0.279113281,0.434238012,1
1,0.276873047,0.524691488,-1
1,0.255121094,0.332942887,1
1,0.238630859,0.48215009,1
1,0.252880859,0.792495023,-1
1,0.340166016,0.304650438,1
1,0.257232422,0.47131082,1
1,0.331443359,0.304158824,1
1,0.336916016,0.364803086,1
1,0.226800781,0.631796797,-1
1,0.228332031,0.44623057,1
1,0.223222656,0.436426691,1
1,0.257931641,0.504546863,1
1,0.317648438,0.296862352,1
1,0.487648438,0.531887895,-1
1,0.434896484,0.250982012,1
1,0.348841797,0.365314,1
1,0.321882813,0.336556723,1
1,0.214771484,0.467732102,1
1,0.244800781,0.48119793,1
1,0.261125,0.33565327,1
1,0.352421875,0.418615293,-1
1,0.248275391,0.40541777,1
1,0.331847656,0.378033738,1
1,0.248121094,0.574306281,-1
1,0.29365625,0.39910802,1
1,0.213136719,0.462314988,1
1,0.17828125,0.472837926,1
1,0.346476563,0.366128281,1
1,0.271261719,0.372494656,1
1,0.350896484,0.309956313,1
1,0.26884375,0.639105953,-1
1,0.281966797,0.437902434,1
1,0.256599609,0.521095102,1
1,0.336474609,0.379620164,1
1,0.326189453,0.246168219,1
1,0.335091797,0.428924172,1
1,0.313216797,0.345161027,1
1,0.303044922,0.232423086,1
1,0.193353516,0.512007266,1
1,0.300119141,0.591277934,-1
1,0.327396484,0.608558125,-1
1,0.376628906,0.188874457,1
1,0.272476562,0.534904047,-1
1,0.367501953,0.188584258,1
1,0.301039063,0.769946266,-1
1,0.200537109,0.441364074,1
1,0.178833984,0.524808508,1
1,0.281845703,0.426601285,1
1,0.327589844,0.420095152,1
1,0.302199219,0.582689164,-1
1,0.195513672,0.707123594,-1
1,0.312953125,0.340064281,1
1,0.358179688,0.180483828,1
1,0.275177734,0.437921191,1
1,0.275384766,0.29090752,1
1,0.305982422,0.397187148,1
1,0.264197266,0.421336988,1
1,0.299582031,0.436294891,1
1,0.167150391,0.660653484,1
1,0.358115234,0.260067535,1
1,0.315894531,0.718804133,-1
1,0.348060547,0.360700066,1
1,0.242494141,0.651393789,-1
1,0.309056641,0.617995398,-1
1,0.310435547,0.352011684,1
1,0.296552734,0.622447551,-1
1,0.449966797,0.589573031,-1
1,0.267255859,0.482801137,1
1,0.244197266,0.537729117,1
1,0.261958984,0.355569734,1
1,0.467447266,0.162385688,1
1,0.337917969,0.518191422,-1
1,0.186970703,0.483255484,1
1,0.110560547,0.700139777,1
1,0.256519531,0.307631949,1
1,0.416173828,0.322864027,-1
1,0.324736328,0.399685824,1
1,0.291972656,0.39914934,1
1,0.260871094,0.553379633,-1
1,0.296958984,0.356871492,1
1,0.270714844,0.599970422,-1
1,0.288900391,0.522286508,-1
1,0.372029297,0.681637066,-1
1,0.340142578,0.33118984,1
1,0.378242188,0.255376656,1
1,0.358347656,0.205694488,1
1,0.245111328,0.549543309,1
1,0.297023438,0.37656418,1
1,0.392142578,0.453301582,-1
1,0.316908203,0.564431164,-1
1,0.171109375,0.548810059,1
1,0.191398438,0.724070484,-1
1,0.182060547,0.695069125,-1
1,0.348074219,0.255696734,1
1,0.348640625,0.158952434,1
1,0.269548828,0.634693941,-1
1,0.317691406,0.553087254,-1
1,0.194755859,0.445722457,1
1,0.355601563,0.255323301,1
1,0.317048828,0.504576414,-1
1,0.305900391,0.524194473,-1
1,0.188650391,0.698830605,-1
1,0.192269531,0.659460824,-1
1,0.198210938,0.71460102,-1
1,0.279267578,0.324220168,1
1,0.264458984,0.418886574,1
1,0.324853516,0.295066949,1
1,0.326341797,0.327856063,1
1,0.349599609,0.312739816,1
1,0.380849609,0.291203059,1
1,0.236169922,0.337915922,1
1,0.364369141,0.396997281,-1
1,0.315306641,0.269709164,1
1,0.198767578,0.506717289,1
1,0.331941406,0.315869832,1
1,0.328568359,0.379724086,1
1,0.195349609,0.593271945,1
1,0.196796875,0.510126555,1
1,0.304355469,0.424620711,1
1,0.245259766,0.36507907,1
1,0.213910156,0.529008664,1
1,0.293140625,0.229087496,1
1,0.187152344,0.499014777,1
1,0.193929688,0.446988164,1
1,0.285414063,0.225904434,1
1,0.240912109,0.345653469,1
1,0.265685547,0.651605441,-1
1,0.290816406,0.365418984,1
1,0.319708984,0.269599105,1
1,0.233740234,0.401808172,1
1,0.302962891,0.255290875,1
1,0.354142578,0.235027871,1
1,0.37640625,0.289605113,1
1,0.213525391,0.448257121,1
1,0.305666016,0.217988562,1
1,0.248615234,0.423719824,1
1,0.244523438,0.34735591,1
1,0.403826172,0.164725969,1
1,0.219136719,0.671418633,-1
1,0.359142578,0.47888452,-1
1,0.331421875,0.208989246,1
1,0.394087891,0.521757324,-1
1,0.289755859,0.276410691,1
1,0.210693359,0.516040504,1
1,0.284910156,0.44441168,1
1,0.310380859,0.282381133,1
1,0.233619141,0.427174797,1
1,0.365826172,0.341260598,1
1,0.174816406,0.604158031,1
1,0.188365234,0.49606373,1
1,0.377416016,0.435694199,-1
1,0.329363281,0.599826441,-1
1,0.303847656,0.620514395,-1
1,0.373986328,0.377590156,-1
1,0.283416016,0.297269031,1
1,0.231859375,0.466681652,1
1,0.314085937,0.470716754,-1
1,0.319855469,0.642295051,-1
1,0.297949219,0.750370039,-1
1,0.207605469,0.505575754,1
1,0.234054688,0.697292223,-1
1,0.267,0.719083234,-1
1,0.340707031,0.127276508,1
1,0.240914062,0.493839301,1
1,0.236875,0.680589016,-1
1,0.278201172,0.463967633,1
1,0.357765625,0.747707953,-1
1,0.338744141,0.723929645,-1
1,0.251521484,0.587496016,-1
1,0.30703125,0.367532355,1
1,0.398439453,0.282871676,1
1,0.2216875,0.519287465,1
1,0.360283203,0.631465906,-1
1,0.246730469,0.758220543,-1
1,0.352384766,0.622037641,-1
1,0.293207031,0.50984743,-1
1,0.258203125,0.498267262,1
1,0.307347656,0.552733535,-1
1,0.360763672,0.440263672,-1
1,0.337662109,0.388651129,1
1,0.183033203,0.53032825,1
1,0.34225,0.25385732,1
1,0.305193359,0.287482766,1
1,0.371824219,0.43064493,-1
1,0.400986328,0.193037125,1
1,0.270234375,0.521402363,1
1,0.319900391,0.412913949,1
1,0.295644531,0.267724473,1
1,0.178507813,0.607737609,1
1,0.220064453,0.751069191,-1
1,0.254373047,0.387685594,1
1,0.228935547,0.627840262,-1
1,0.333609375,0.485244406,-1
1,0.257162109,0.607063824,-1
1,0.359154297,0.432154316,-1
1,0.291933594,0.272904879,1
1,0.198591797,0.498145859,1
1,0.29234375,0.3041165,1
1,0.381269531,0.664769754,-1
1,0.226728516,0.490845176,1
1,0.341560547,0.53256177,-1
1,0.219083984,0.647316063,-1
1,0.337292969,0.296951082,1
1,0.332669922,0.278670516,1
1,0.258732422,0.415051297,1
1,0.315566406,0.30844007,1
1,0.235775391,0.323418438,1
1,0.263683594,0.449915605,1
1,0.128744141,0.628261145,1
1,0.20328125,0.453656543,1
1,0.396001953,0.183263746,1
1,0.291404297,0.28824966,1
1,0.267861328,0.422583172,1
1,0.178509766,0.57735277,1
1,0.185236328,0.583417313,1
1,0.300183594,0.29478632,1
1,0.222644531,0.470508348,1
1,0.200728516,0.535381441,1
1,0.234388672,0.362916789,1
1,0.265320313,0.350085258,1
1,0.329582031,0.424603164,1
1,0.370433594,0.287348836,1
1,0.300832031,0.265246203,1
1,0.404642578,0.338553145,-1
1,0.275087891,0.68027716,-1
1,0.335488281,0.483950109,-1
1,0.504652344,0.509354918,-1
1,0.349171875,0.286319422,1
1,0.285296875,0.569764344,-1
1,0.315484375,0.339347004,1
1,0.245708984,0.585784301,-1
1,0.282939453,0.187547035,1
1,0.423570313,0.633903059,-1
1,0.261150391,0.58580618,-1
1,0.447261719,0.413207477,-1
1,0.253089844,0.401051617,1
1,0.132271484,0.780292645,-1
1,0.103980469,0.729569109,1
1,0.364216797,0.642163547,-1
1,0.345808594,0.243590074,1
1,0.363294922,0.306724371,1
1,0.314578125,0.437265555,1
1,0.327535156,0.570454695,-1
1,0.385496094,0.710698043,-1
1,0.407435547,0.633734473,-1
1,0.339349609,0.225997156,1
1,0.343847656,0.50756525,-1
1,0.370496094,0.318124945,1
1,0.210923828,0.638357793,-1
1,0.240458984,0.810609797,-1
1,0.296822266,0.267370504,1
1,0.465074219,0.459622938,-1
1,0.205529297,0.622072715,-1
1,0.222029297,0.432962047,1
1,0.257052734,0.305576848,1
1,0.182617188,0.672280359,-1
1,0.294023438,0.616557043,-1
1,0.367427734,0.417158367,-1
1,0.309755859,0.566001695,-1
1,0.474476563,0.405576379,-1
1,0.451935547,0.517064004,-1
1,0.199259766,0.688782262,-1
1,0.310582031,0.21229882,1
1,0.2518125,0.330261242,1
1,0.349025391,0.288147828,1
1,0.126324219,0.630182125,1
1,0.238138672,0.431078125,1
1,0.327306641,0.259167148,1
1,0.305626953,0.234076801,1
1,0.247177734,0.648875035,-1
1,0.264376953,0.573479578,-1
1,0.292292969,0.628128934,-1
1,0.25871875,0.453152758,1
1,0.258242188,0.515327992,1
1,0.326617188,0.321699008,1
1,0.327208984,0.592657043,-1
1,0.407433594,0.498251066,-1
1,0.2355625,0.678822996,-1
1,0.286388672,0.571197664,-1
1,0.225394531,0.718805277,-1
1,0.341220703,0.821816973,-1
1,0.364699219,0.259874684,1
1,0.211921875,0.664201266,-1
1,0.249605469,0.708892938,-1
1,0.184490234,0.521235781,1
1,0.309830078,0.645257707,-1
1,0.212068359,0.652776223,-1
1,0.241261719,0.70486698,-1
1,0.244800781,0.661885672,-1
1,0.159785156,0.543966719,1
1,0.220154297,0.459497785,1
1,0.313179688,0.585588793,-1
1,0.164996094,0.629067141,1
1,0.336130859,0.343253059,1
1,0.351507813,0.456133402,-1
1,0.344404297,0.275860781,1
1,0.368798828,0.362330816,1
1,0.388552734,0.311603289,1
1,0.102845703,0.695966668,1
1,0.392716797,0.261463633,1
1,0.375521484,0.339792461,1
1,0.369558594,0.298628367,1
1,0.208134766,0.598957906,1
